t,ndyag,rogowsky,oscillator
-5.24E-07,-0.015810277,-0.11067194,0.00063241104
-5.24E-07,0.023715414,-0.11067194,0.00043478262
-5.23E-07,0.023715414,-0.031620555,-0.00035573123
-5.23E-07,0.0039525693,0.12648222,-0.000059288537
-5.22E-07,0.023715414,0.047430828,0.00013833992
-5.22E-07,0.063241109,-0.11067194,0.00003952569
-5.22E-07,0.0039525693,-0.18972331,0.00013833992
-5.21E-07,0.023715414,0.047430828,0.00003952569
-5.21E-07,0.023715414,-0.18972331,-0.00015810276
-5.20E-07,0.023715414,0.047430828,-0.000059288537
-5.20E-07,0.043478262,0.12648222,-0.00045454546
-5.20E-07,0.043478262,0.047430828,0.00003952569
-5.19E-07,0.043478262,-0.11067194,0.00023715415
-5.19E-07,0.0039525693,-0.031620555,0.00023715415
-5.18E-07,0.043478262,-0.26877472,0.00043478262
-5.18E-07,0.023715414,-0.18972331,0.00013833992
-5.18E-07,0.0039525693,-0.11067194,0.00013833992
-5.17E-07,0.043478262,-0.11067194,0.00003952569
-5.17E-07,0.023715414,0.12648222,-0.000256917
-5.16E-07,0.043478262,-0.11067194,-0.000059288537
-5.16E-07,0.023715414,-0.18972331,-0.00065217394
-5.16E-07,0.043478262,-0.18972331,0.00003952569
-5.15E-07,0.0039525693,-0.11067194,0.00043478262
-5.15E-07,0.043478262,0.12648222,-0.00015810276
-5.14E-07,0.023715414,-0.11067194,0.0015217392
-5.14E-07,0.0039525693,-0.18972331,0.002806324
-5.14E-07,0.023715414,-0.031620555,0.0018181818
-5.13E-07,0.023715414,-0.11067194,0.0014229249
-5.13E-07,0.023715414,-0.11067194,0.0008300395
-5.12E-07,0.023715414,-0.031620555,0.00033596839
-5.12E-07,0.023715414,0.047430828,0.00033596839
-5.12E-07,0.023715414,0.047430828,0.00023715415
-5.11E-07,0.043478262,0.047430828,0.00043478262
-5.11E-07,0.0039525693,0.12648222,-0.000059288537
-5.10E-07,0.023715414,-0.11067194,-0.000059288537
-5.10E-07,-0.015810277,-0.11067194,0.00013833992
-5.10E-07,0.0039525693,-0.11067194,-0.000256917
-5.09E-07,0.023715414,-0.11067194,-0.000059288537
-5.09E-07,0.023715414,-0.031620555,0.00023715415
-5.08E-07,0.0039525693,-0.18972331,-0.00015810276
-5.08E-07,0.023715414,0.047430828,-0.000256917
-5.08E-07,0.0039525693,0.047430828,0.00023715415
-5.07E-07,0.0039525693,-0.031620555,-0.000256917
-5.07E-07,0.043478262,-0.11067194,-0.00015810276
-5.06E-07,0.0039525693,-0.031620555,-0.000059288537
-5.06E-07,-0.055335969,0.12648222,0.00003952569
-5.06E-07,0.063241109,0.047430828,-0.000059288537
-5.05E-07,0.023715414,-0.11067194,0.00013833992
-5.05E-07,0.023715414,-0.11067194,-0.000256917
-5.04E-07,0.043478262,0.047430828,-0.00015810276
-5.04E-07,0.023715414,-0.26877472,-0.000256917
-5.04E-07,0.0039525693,-0.11067194,-0.00015810276
-5.03E-07,0.0039525693,-0.11067194,-0.000256917
-5.03E-07,0.043478262,-0.11067194,0.00043478262
-5.02E-07,-0.015810277,0.12648222,0.0026086958
-5.02E-07,-0.015810277,0.047430828,0.002312253
-5.02E-07,0.023715414,-0.11067194,0.0014229249
-5.01E-07,0.023715414,0.047430828,0.001027668
-5.01E-07,-0.015810277,-0.11067194,0.0007312253
-5.00E-07,0.0039525693,-0.11067194,0.00013833992
-5.00E-07,0.0039525693,-0.11067194,0.00013833992
-5.00E-07,0.0039525693,-0.11067194,0.00043478262
-4.99E-07,0.0039525693,-0.18972331,-0.000059288537
-4.99E-07,0.0039525693,-0.031620555,0.00013833992
-4.98E-07,0.023715414,-0.11067194,-0.00015810276
-4.98E-07,0.0039525693,0.12648222,-0.000256917
-4.98E-07,0.023715414,-0.031620555,0.00003952569
-4.97E-07,0.023715414,-0.031620555,-0.000059288537
-4.97E-07,0.0039525693,-0.031620555,0.00013833992
-4.96E-07,0.0039525693,-0.18972331,0.00003952569
-4.96E-07,0.0039525693,-0.031620555,0.00043478262
-4.96E-07,0.043478262,0.047430828,0.00013833992
-4.95E-07,0.023715414,-0.031620555,-0.000256917
-4.95E-07,0.0039525693,-0.031620555,0.00013833992
-4.94E-07,0.023715414,0.28458497,0.00043478262
