x,N_e
354,0.3311005156
355,0.2911152722
356,0.3744947978
357,0.300577288
358,0.2816569004
359,0.2606708951
360,0.299300004
361,0.3715040277
362,0.3636506455
363,0.2905028207
364,0.2997053923
365,0.3349152637
366,0.3651834153
367,0.3078572431
368,0.3321652316
369,0.3203680541
370,0.2978252296
371,0.2449579672
372,0.316504163
373,0.305530071
374,0.3237403424
375,0.323289146
376,0.3109424854
377,0.2989910934
378,0.3091776849
379,0.3731570216
380,0.4140881686
381,0.3271054135
382,0.3474469816
383,0.3024736302
384,0.2808119146
385,0.3368117483
386,0.3318309305
387,0.3123233652
388,0.277872961
389,0.2951125978
390,0.3322100826
391,0.3642030511
392,0.3076326327
393,0.2915040032
394,0.3121116929
395,0.3243502155
396,0.3373800394
397,0.3560980847
398,0.301788279
399,0.2929382943
400,0.2606244218
401,0.2815767967
402,0.2615297792
403,0.2871956938
404,0.3221680425
405,0.2980114099
406,0.3228970848
407,0.2816769134
408,0.3419027104
409,0.2921824846
410,0.3276687778
411,0.3783759432
412,0.4038803445
413,0.4334237822
414,0.3811896076
415,0.3918425704
416,0.4033635438
417,0.3331853487
418,0.3805836885
419,0.3307093444
420,0.3322103697
421,0.2582617558
422,0.2771879194
423,0.3204894535
424,0.3562767563
425,0.3466388464
426,0.2952952101
427,0.3387263926
428,0.3156884447
429,0.3078432903
430,0.3502783572
431,0.3310776911
432,0.3691719643
433,0.3499104048
434,0.3836850491
435,0.3495783687
436,0.3216280178
437,0.3945375144
438,0.3256068452
439,0.3146610493
440,0.3641936162
441,0.2990283104
442,0.3509135549
443,0.3475324415
444,0.3211087606
445,0.3192309649
446,0.317344779
447,0.3708739534
448,0.3548420662
449,0.3304532377
450,0.3035222894
451,0.3129467633
452,0.371489129
453,0.3550824899
454,0.3179178865
455,0.3404632354
456,0.3237819092
457,0.3235594617
458,0.3405840992
459,0.3093850251
460,0.3371657997
461,0.3543146196
462,0.4024197578
463,0.3294180276
464,0.3446925995
465,0.2933584261
466,0.2747683993
467,0.3410046698
468,0.3531407448
469,0.3077327487
470,0.3189686153
471,0.3365067601
472,0.3333637752
473,0.3715587588
474,0.3540093988
475,0.3339422128
476,0.318142319
477,0.3246055783
478,0.3659254753
479,0.3698235323
480,0.2761923895
481,0.3032157074
482,0.3730046296
483,0.3408425265
484,0.3187544513
485,0.3359386819
486,0.3635580385
487,0.3534140983
488,0.3112042079
489,0.2907304418
490,0.3233215773
491,0.3757551595
492,0.3577616791
493,0.3579139952
494,0.3054366735
495,0.3175872144
496,0.2861736875
497,0.3600164022
498,0.2897490723
499,0.2667076117
500,0.2354268338
501,0.272730085
502,0.3015826679
503,0.2833624512
504,0.3183383681
505,0.2516065065
506,0.3027571655
507,0.315275157
508,0.3612884369
509,0.3177608765
510,0.272442913
511,0.3165951423
512,0.3130236328
513,0.3235382402
514,0.3486356158
515,0.3397145561
516,0.2866459699
517,0.2929913367
518,0.3246206423
519,0.3691676918
520,0.3104620162
521,0.3404574253
522,0.3830427174
523,0.4350704048
524,0.3600897984
525,0.3993908578
526,0.3669025534
527,0.3387783033
528,0.2996408391
529,0.3709556429
530,0.3406398317
