t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-1.01E-07,-0.001692495315,-0.0013293,0.012450585,-0.0013293,0.012450585,-0.0428313375,-0.0152714625,0.012450585,-0.0290514,0.012450585,-0.0290514,-0.0152714625,-0.0152714625
-1.01E-07,0.00667272438,-0.0428313375,0.012450585,-0.0152714625,-0.0013293,-0.0290514,-0.056773374,-0.0428313375,-0.0152714625,-0.0013293,0.012450585,-0.0013293,0.012450585
-1.00E-07,0.01494068751,-0.0152714625,0.026230575,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.056773374,0.012450585
-9.96E-08,0.03157394499,0.012450585,-0.0428313375,-0.0152714625,-0.0013293,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,0.012450585,-0.0013293,-0.0013293,-0.0152714625
-9.90E-08,0.01494068751,-0.0428313375,-0.0152714625,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,0.026230575,-0.0152714625,0.012450585,-0.0152714625,-0.0152714625,-0.056773374
-9.84E-08,0.01494068751,-0.0013293,-0.0290514,-0.0705533115,-0.0013293,-0.0152714625,0.012450585,0.04017258,-0.0013293,-0.0428313375,0.012450585,-0.0290514,0.012450585
-9.78E-08,0.01494068751,0.012450585,0.012450585,-0.0152714625,-0.0152714625,-0.0290514,-0.0428313375,-0.0013293,-0.0013293,-0.0013293,-0.0013293,-0.0428313375,-0.0013293
-9.72E-08,0.01494068751,-0.0290514,-0.0152714625,0.026230575,0.012450585,0.012450585,-0.0013293,-0.0152714625,-0.0290514,-0.0152714625,-0.0013293,-0.0152714625,0.012450585
-9.66E-08,0.00667272438,-0.0290514,-0.0013293,-0.0428313375,-0.0428313375,-0.0152714625,-0.0013293,-0.0290514,-0.0428313375,-0.0013293,0.012450585,-0.0290514,0.012450585
-9.60E-08,-0.00996045813,-0.0013293,-0.0152714625,-0.0290514,-0.0290514,-0.0428313375,-0.0152714625,-0.0013293,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,-0.0152714625
-9.54E-08,0.02320872561,0.026230575,-0.0013293,-0.0152714625,-0.0013293,0.026230575,-0.0152714625,0.026230575,0.012450585,-0.0013293,-0.0290514,-0.0290514,-0.0013293
-9.48E-08,0.00667272438,-0.0428313375,-0.0013293,-0.0290514,-0.0013293,-0.0290514,0.026230575,-0.0152714625,0.026230575,-0.0152714625,-0.0152714625,0.012450585,-0.0013293
-9.42E-08,0.01494068751,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0290514,-0.0013293,-0.0290514,-0.0152714625,-0.0152714625,0.026230575,-0.056773374,-0.0152714625
-9.36E-08,0.03157394499,-0.0152714625,-0.0290514,-0.0013293,-0.0290514,-0.0290514,-0.0428313375,-0.0428313375,0.012450585,-0.0428313375,-0.0290514,-0.0013293,-0.0152714625
-9.30E-08,0.00667272438,-0.0290514,0.012450585,-0.0152714625,-0.0152714625,-0.0152714625,-0.0290514,-0.0290514,0.026230575,-0.0428313375,-0.0290514,-0.0013293,-0.0152714625
-9.24E-08,0.02320872561,0.012450585,-0.0013293,-0.0013293,0.026230575,-0.0290514,-0.0290514,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,-0.0152714625,-0.0013293
-9.18E-08,0.01494068751,-0.0290514,0.04017258,-0.0013293,-0.0152714625,-0.0290514,-0.0290514,-0.0013293,-0.0152714625,-0.056773374,-0.0013293,-0.0013293,-0.0290514
-9.12E-08,0.02320872561,-0.0013293,-0.0152714625,0.012450585,-0.0013293,-0.0290514,-0.0428313375,-0.0013293,-0.0290514,-0.0013293,-0.0152714625,0.012450585,-0.0013293
-9.06E-08,0.02320872561,0.012450585,-0.0152714625,-0.0013293,-0.0152714625,0.012450585,-0.0013293,-0.0013293,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,-0.0013293
