old t1,t1,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,old t2,t2,d2
0.0114693,0,-0.039051384,0.039999999,0.19810277,0.039999999,0.19810277,0.039999999,0.039999999,-0.039051384,0.19810277,0.11905138,0.0115552,0,0.11905138
0.01146945,0.00000015,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.01155520999,0.000000009990000001,0.19810277
0.0114696,0.0000003,0.19810277,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138,0.01155521998,0.00000001998,0.11905138
0.011469751,0.000000451,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.11905138,-0.039051384,0.11905138,0.01155522997,0.00000002997,0.11905138
0.011469901,0.000000601,0.039999999,0.11905138,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,-0.039051384,0.01155523996,0.00000003996,0.19810277
0.011470051,0.000000751,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.01155524995,0.00000004995,0.19810277
0.011470201,0.000000901,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.19810277,0.039999999,0.039999999,0.01155525994,0.00000005994,0.11905138
0.011470351,0.000001051,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.19810277,0.11905138,0.039999999,0.19810277,0.01155526993,0.00000006993,0.039999999
0.011470502,0.000001202,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138,0.01155527992,0.00000007992,0.11905138
0.011470652,0.000001352,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.19810277,0.039999999,0.01155528991,0.00000008991,0.039999999
0.011470802,0.000001502,0.11905138,0.11905138,0.11905138,0.19810277,0.039999999,0.19810277,0.039999999,0.19810277,0.11905138,0.11905138,0.0115552999,0.0000000999,0.039999999
0.011470952,0.000001652,0.11905138,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.01155530989,0.00000010989,0.039999999
0.011471102,0.000001802,0.11905138,0.11905138,0.039999999,0.19810277,0.19810277,0.11905138,0.039999999,0.039999999,0.19810277,0.039999999,0.01155531988,0.00000011988,0.19810277
0.011471253,0.000001953,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,-0.11810277,0.01155532987,0.00000012987,0.039999999
0.011471403,0.000002103,0.11905138,0.11905138,-0.039051384,0.19810277,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.01155533986,0.00000013986,0.039999999
0.011471553,0.000002253,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.19810277,0.11905138,-0.039051384,0.11905138,0.039999999,0.01155534985,0.00000014985,0.039999999
0.011471703,0.000002403,0.11905138,0.039999999,0.039999999,0.11905138,-0.039051384,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.01155535984,0.00000015984,0.039999999
0.011471853,0.000002553,0.27715415,0.11905138,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,-0.039051384,0.01155536984,0.00000016984,0.039999999
0.011472003,0.000002703,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.039999999,-0.039051384,0.01155537983,0.00000017983,0.11905138
0.011472154,0.000002854,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.01155538982,0.00000018982,0.039999999
0.011472304,0.000003004,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,-0.039051384,0.039999999,0.01155539981,0.00000019981,0.11905138
0.011472454,0.000003154,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.19810277,0.0115554098,0.0000002098,0.039999999
0.011472604,0.000003304,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999,0.01155541979,0.00000021979,0.039999999
0.011472754,0.000003454,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.01155542978,0.00000022978,0.039999999
0.011472905,0.000003605,0.11905138,0.11905138,0.19810277,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277,0.01155543977,0.00000023977,0.19810277
0.011473055,0.000003755,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.01155544976,0.00000024976,0.11905138
0.011473205,0.000003905,0.039999999,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.01155545975,0.00000025975,-0.039051384
0.011473355,0.000004055,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,-0.039051384,0.01155546974,0.00000026974,0.039999999
0.011473505,0.000004205,0.19810277,-0.039051384,0.19810277,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,-0.039051384,0.01155547973,0.00000027973,0.11905138
0.011473656,0.000004356,0.19810277,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.01155548972,0.00000028972,0.11905138
0.011473806,0.000004506,0.11905138,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,0.19810277,0.11905138,0.01155549971,0.00000029971,0.039999999
0.011473956,0.000004656,0.11905138,0.039999999,0.19810277,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.0115555097,0.0000003097,0.19810277
0.011474106,0.000004806,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277,0.11905138,0.19810277,-0.039051384,0.19810277,0.11905138,0.01155551969,0.00000031969,0.11905138
0.011474256,0.000004956,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138,0.01155552968,0.00000032968,0.039999999
0.011474407,0.000005107,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138,0.01155553967,0.00000033967,0.11905138
0.011474557,0.000005257,0.19810277,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138,0.11905138,0.01155554966,0.00000034966,0.11905138
0.011474707,0.000005407,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.11905138,0.11905138,0.01155555965,0.00000035965,0.039999999
0.011474857,0.000005557,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384,0.01155556964,0.00000036964,0.11905138
0.011475007,0.000005707,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384,0.11905138,0.19810277,0.11905138,0.01155557963,0.00000037963,0.039999999
0.011475158,0.000005858,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384,-0.039051384,0.11905138,0.11905138,0.11905138,0.01155558962,0.00000038962,0.039999999
0.011475308,0.000006008,0.19810277,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.11905138,0.039999999,0.01155559961,0.00000039961,0.039999999
0.011475458,0.000006158,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.0115556096,0.0000004096,0.039999999
0.011475608,0.000006308,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,-0.039051384,0.11905138,0.039999999,0.01155561959,0.00000041959,0.039999999
0.011475758,0.000006458,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.01155562958,0.00000042958,0.039999999
0.011475909,0.000006609,0.19810277,0.19810277,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.01155563957,0.00000043957,0.11905138
0.011476059,0.000006759,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138,0.01155564956,0.00000044956,0.19810277
